Issuer Name,BSE Code,NSE Code,Sector Name,Industry Name,BSE/NSE Flag
Bacil Pharma Ltd.,524516,,Healthcare,Healthcare,N
Krebs Biochemicals & Industries Ltd.,524518,,Healthcare,Healthcare,N
KMC Speciality Hospitals India Limited,524520,,Healthcare,Healthcare,N
Laffans Petrochemicals Ltd.,524522,,Commodities,Chemicals,N
Bhaskar Agrochemicals Ltd.,524534,,Commodities,Chemicals,N
Sukhjit Starch & Chemicals Ltd.,524542,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Satiate Agri Limited,524546,,Healthcare,Healthcare,N
Sharma East India Hospitals And Res,524548,,Healthcare,Healthcare,N
Neuland Laboratories Limited.,524558,,Healthcare,Healthcare,N
Gayatri BioOrganics Ltd,524564,,Commodities,Chemicals,N
Poddar Pigments Ltd.,524570,,Commodities,Chemicals,N
Pharmaids Pharmaceuticals Ltd.,524572,,Healthcare,Healthcare,N
Vivid Global Industries Limited,524576,,Commodities,Chemicals,N
Priya Limited.,524580,,Services,Services,N
Tirupati Starch & Chemicals Ltd.,524582,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Hemo Organic Limited,524590,,Services,Services,N
JAYSYNTH ORGOCHEM LIMITED,524592,,Commodities,Chemicals,N
Aeonx Digital Technology Limited,524594,,Commodities,Metals & Mining,N
AksharChem (India) Ltd.,524598,,Commodities,Chemicals,N
BANDARAM PHARMA PACKTECH LIMITED,524602,,Healthcare,Healthcare,N
ADLINE CHEM LAB LIMITED,524604,,Healthcare,Healthcare,N
Beryl Drugs Ltd.,524606,,Healthcare,Healthcare,N
IEL LIMITED,524614,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Gagan Gases Ltd.,524624,,Commodities,Chemicals,N
Parker Agro Chem Export Ltd.,524628,,Services,Services,N
Shukra Pharmaceuticals Limited,524632,,Healthcare,Healthcare,N
Alufluoride  Ltd.,524634,,Commodities,Chemicals,N
OXYGENTA PHARMACEUTICAL LIMITED,524636,,Healthcare,Healthcare,N
Archit Organosys Limited,524640,,Commodities,Chemicals,N
Sikozy Realtors Limited,524642,,Consumer Discretionary,Realty,N
Indo Amines Ltd.,524648,,Commodities,Chemicals,N
Ind-Swift Ltd.,524652,,Healthcare,Healthcare,N
Natural Capsules Ltd.,524654,,Healthcare,Healthcare,N
Welcure Drugs & Pharmaceuticals ltd,524661,,Healthcare,Healthcare,N
Bharat Immunologicals & Biologicals,524663,,Healthcare,Healthcare,N
Savita Oil Technologies Limited,524667,SOTL,Energy,"Oil, Gas & Consumable Fuels",Y
Hester Biosciences Ltd,524669,,Healthcare,Healthcare,N
Kabsons Industries Ltd.,524675,,Services,Services,N
Basant Agro-Tech (India) Ltd.,524687,,Commodities,Chemicals,N
Sandu Pharmaceuticals Ltd.,524703,,Healthcare,Healthcare,N
NACL Industries Limited,524709,NACLIND,Commodities,Chemicals,Y
Vista Pharmaceuticals Ltd.,524711,,Healthcare,Healthcare,N
Sun Pharmaceutical Industries Ltd.,524715,,Healthcare,Healthcare,N
Titan Bio-Tech Ltd.,524717,,Commodities,Chemicals,N
Bijoy Hans Ltd,524723,,Services,Services,N
Span Divergent Limited,524727,,Healthcare,Healthcare,N
Jenburkt Pharmaceuticals Ltd.,524731,,Healthcare,Healthcare,N
Hikal Ltd.,524735,,Healthcare,Healthcare,N
Caplin Point Laboratories Ltd.,524742,,Healthcare,Healthcare,N
FISCHER MEDICAL VENTURES LIMITED,524743,,Commodities,Chemicals,N
Link Pharma Chem Ltd.,524748,,Commodities,Chemicals,N
DECIPHER LABS LIMITED,524752,,Healthcare,Healthcare,N
Emmessar Biotech & Nutrition Ltd.,524768,,Commodities,Chemicals,N
NGL Fine Chem Ltd.,524774,,Healthcare,Healthcare,N
Everest Organics Ltd.,524790,,Healthcare,Healthcare,N
Aurobindo Pharma Ltd.,524804,,Healthcare,Healthcare,N
Phyto Chem (India) Ltd.,524808,,Commodities,Chemicals,N
Natco Pharma Ltd.,524816,,Healthcare,Healthcare,N
Dynamic Industries Ltd.,524818,,Commodities,Chemicals,N
Panama Petrochem Ltd.,524820,,Energy,"Oil, Gas & Consumable Fuels",N
Bal Pharma Ltd.,524824,,Healthcare,Healthcare,N
BDH Industries Ltd.,524828,,Healthcare,Healthcare,N
Jauss Polymers Ltd,526001,,Industrials,Capital Goods,N
Globus Constructors & Developers Limited,526025,,Utilities,Power,N
Cubex Tubings Ltd,526027,,Industrials,Capital Goods,N
Polymechplast Machines Ltd.,526043,,Industrials,Capital Goods,N
STELLANT SECURITIES (INDIA) LIMITED,526071,,Financial Services,Financial Services,N
Galaxy Bearings Ltd.,526073,,Industrials,Capital Goods,N
SC Agrotech Limited,526081,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Ravileela Granites Limited,526095,,Commodities,Construction Materials,N
Uniroyal Marine Exports Ltd.,526113,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Karan Woo-sin ltd.,526115,,Consumer Discretionary,Consumer Durables,N
Shervani Industrial syndicate Ltd,526117,,Consumer Discretionary,Realty,N
BN HOLDINGS LIMITED,526125,,Services,Services,N
Supertex Industries Ltd,526133,,Consumer Discretionary,Textiles,N
Shetron Ltd.,526137,,Industrials,Capital Goods,N
Transgene Biotek Ltd.,526139,,Healthcare,Healthcare,N
MPL Plastics Limited,526143,,Industrials,Capital Goods,N
Nikhil Adhesives Ltd.,526159,,Commodities,Chemicals,N
Spenta International Ltd.,526161,,Consumer Discretionary,Textiles,N
Multibase India Ltd,526169,,Commodities,Chemicals,N
Andrew Yule & Company Ltd,526173,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Ludlow Jute & Specialities Ltd,526179,,Commodities,Forest Materials,N
Ashram Online.com Ltd,526187,,Healthcare,Healthcare,N
Royal Cushion Vinyl Products Ltd.,526193,,Consumer Discretionary,Consumer Durables,N
Suraj Industries Limited.,526211,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Hitech Corporation Limited,526217,HITECHCORP,Industrials,Capital Goods,Y
Bloom Dekor Ltd.,526225,,Industrials,Capital Goods,N
Filatex India Ltd.,526227,,Consumer Discretionary,Textiles,N
Standard Surfactants Ltd.,526231,,Commodities,Chemicals,N
Morgan Ventures Ltd.,526237,,Financial Services,Financial Services,N
Amrapali Industries Ltd,526241,,Services,Services,N
Premier Explosives Ltd.,526247,,Commodities,Chemicals,N
Mid East Portfolio Management Ltd.,526251,,Financial Services,Financial Services,N
Mold-Tek Technologies Ltd,526263,,Information Technology,Information Technology,N
Crestchem Ltd.,526269,,Commodities,Chemicals,N
Mphasis Limited,526299,MPHASIS,Information Technology,Information Technology,Y
Medinova Diagnostic Services Ltd.,526301,,Healthcare,Healthcare,N
DIVYASHAKTI LIMITED,526315,,Commodities,Construction Materials,N
Orient Press ltd.,526325,,Industrials,Capital Goods,N
Shreyas Intermediates Ltd.,526335,,Commodities,Chemicals,N
Panjon Ltd.,526345,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Nirbhay Colours India Limited,526349,,Consumer Discretionary,Automobile and Auto Components,N
Duropack Ltd,526355,,Industrials,Capital Goods,N
SWARNSARITA JEWELS INDIA LIMITED,526365,,Consumer Discretionary,Consumer Durables,N
Ganesh Housing Corporation Ltd.,526367,,Consumer Discretionary,Realty,N
NMDC Ltd,526371,,Commodities,Metals & Mining,N
Cindrella Hotels Ltd.,526373,,Consumer Discretionary,Consumer Services,N
Patel Integrated Logistics Ltd,526381,,Services,Services,N
Alphageo (India)Ltd.,526397,,Energy,"Oil, Gas & Consumable Fuels",N
HAMPTON SKY REALTY LIMITED,526407,,Consumer Discretionary,Realty,N
Kkalpana Industries (India) Ltd,526409,,Commodities,Chemicals,N
OK Play India Ltd.,526415,,Consumer Discretionary,Consumer Durables,N
Kriti Industries (India) Ltd.,526423,,Industrials,Capital Goods,N
Welterman International Ltd.,526431,,Consumer Discretionary,Consumer Durables,N
ASM Technologies Ltd.,526433,,Information Technology,Information Technology,N
Perfectpac Limited,526435,,Commodities,Forest Materials,N
Ambitious Plastomac Ltd.,526439,,Services,Services,N
Vision Cinemas Limited,526441,,Consumer Discretionary,"Media, Entertainment & Publication",N
Artificial Electronics Intelligent Material Limited,526443,,Information Technology,Information Technology,N
Indrayani Biotech Ltd.,526445,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Euro Leder Fashion Ltd.,526468,,Consumer Discretionary,Consumer Durables,N
Winsome Breweries Ltd.,526471,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Elegant Floriculture & Agrotech (In,526473,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Sky Industries Ltd,526479,,Consumer Discretionary,Textiles,N
Phoenix International Ltd.,526481,,Services,Services,N
BHUDEVI INFRA PROJECTS LIMITED,526488,,Consumer Discretionary,Realty,N
Pratik Panels Ltd.,526490,,Commodities,Forest Materials,N
Rishiroop Limited,526492,,Industrials,Capital Goods,N
PROMACT IMPEX LIMITED,526494,,Industrials,Capital Goods,N
Sterling Green  Woods  Limited,526500,,Consumer Discretionary,Consumer Services,N
Systematix Corporate Services Ltd.,526506,,Financial Services,Financial Services,N
Shahi Shipping Limited,526508,,Services,Services,N
Alpine Housing Development Corporat,526519,,Consumer Discretionary,Realty,N
Sanghi Industries Ltd.,526521,,Commodities,Construction Materials,N
WORLDWIDE ALUMINIUM LIMITED,526525,,Services,Services,N
IIRM HOLDINGS INDIA LIMITED,526530,,Services,Services,N
Square Four Projects India Limited,526532,,Commodities,Chemicals,N
SGL RESOURCES LIMITED,526544,,Information Technology,Information Technology,N
Choksi Laboratories Ltd.,526546,,Healthcare,Healthcare,N
Country Club Hospitality & Holidays Ltd,526550,,Consumer Discretionary,Consumer Services,N
Longview Tea Company ltd.,526568,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Midwest Gold Ltd,526570,,Commodities,Construction Materials,N
Enterprise International Limited,526574,,Services,Services,N
TPL Plastech Limited,526582,TPLPLASTEH,Industrials,Capital Goods,Y
Wim Plast Ltd.,526586,,Consumer Discretionary,Consumer Durables,N
Photoquip India Ltd.,526588,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Liberty Shoes Ltd.,526596,,Consumer Discretionary,Consumer Durables,N
Lippi Systems Ltd.,526604,,Industrials,Capital Goods,N
Electrotherm (India) Ltd,526608,,Industrials,Capital Goods,N
Blue Dart Express Ltd.,526612,,Services,Services,N
Expo Gas Containers Ltd.,526614,,Industrials,Capital Goods,N
National Plastic Industries Ltd.,526616,,Industrials,Capital Goods,N
MFL India Ltd,526622,,Services,Services,N
Ajwa Fun World & Resorts Ltd,526628,,Consumer Discretionary,Consumer Services,N
Texel Industries Ltd.,526638,,Industrials,Capital Goods,N
Royale Manor Hotels & Industries Lt,526640,,Consumer Discretionary,Consumer Services,N
Mirza International  Limited,526642,,Consumer Discretionary,Consumer Durables,N
Tourism Finance Corpn. Of India Ltd,526650,,Financial Services,Financial Services,N
Thakker's Developers Ltd.,526654,,Consumer Discretionary,Realty,N
Rajdarshan Industries Ltd.,526662,,Commodities,Metals & Mining,N
Bhartiya International Ltd.,526666,,Consumer Discretionary,Consumer Durables,N
Kamat Hotels (India) ltd.,526668,,Consumer Discretionary,Consumer Services,N
DSJ KEEP LEARNING LIMITED,526677,KEEPLEARN,Consumer Discretionary,Consumer Services,Y
Ecoplast Ltd.,526703,,Industrials,Capital Goods,N
Elegant Marbles & Grani Industries,526705,,Consumer Discretionary,Consumer Durables,N
BITS Ltd,526709,,Information Technology,Information Technology,N
Adarsh Plant Project Ltd.,526711,,Commodities,Chemicals,N
HCP PLASTENE BULKPACK LIMITED,526717,,Industrials,Capital Goods,N
Nicco Parks And Resorts Ltd.,526721,,Consumer Discretionary,Consumer Services,N
NTC INDUSTRIES LIMITED,526723,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Sandesh Ltd.,526725,,Consumer Discretionary,"Media, Entertainment & Publication",N
Garnet Construction Ltd.,526727,,Consumer Discretionary,Realty,N
Goldiam International Ltd.,526729,,Consumer Discretionary,Consumer Durables,N
Bright Brothers Ltd.,526731,,Industrials,Capital Goods,N
Narmada Gelatines Ltd.,526739,,Commodities,Chemicals,N
P.G.Foils Ltd.,526747,,Commodities,Metals & Mining,N
Gratex Industries Ltd.,526751,,Commodities,Forest Materials,N
Velan Hotels Ltd.,526755,,Consumer Discretionary,Consumer Services,N
Howard Hotels Limited,526761,,Consumer Discretionary,Consumer Services,N
Pressure Sensitive Systems (India),526773,,Consumer Discretionary,Textiles,N
Valiant Communications Ltd.,526775,,Telecommunication,Telecommunication,N
Dr.Agarwals Eye Hospital Ltd.,526783,,Healthcare,Healthcare,N
Mahasagar Travels Ltd.,526795,,Services,Services,N
Greenply Industries Ltd,526797,,Consumer Discretionary,Consumer Durables,N
Seamec Ltd,526807,,Services,Services,N
Raghunath International Ltd.,526813,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Cheviot Co.Ltd.,526817,,Commodities,Forest Materials,N
Dai-Ichi Karkaria Ltd.,526821,,Commodities,Chemicals,N
Rajeswari Infrastructure Limited,526823,,Consumer Discretionary,Realty,N
SPICE ISLANDS INDUSTRIES LIMITED,526827,,Consumer Discretionary,Consumer Durables,N
Confidence Petroleum India Limited,526829,CONFIPET,Energy,"Oil, Gas & Consumable Fuels",Y
Shelter Infra Projects Limited,526839,,Industrials,Construction,N
Shakti Press Ltd.,526841,,Consumer Discretionary,"Media, Entertainment & Publication",N
Ashirwad Steels & Industries  Ltd.,526847,,Industrials,Capital Goods,N
Banaras Beads Ltd.,526849,,Consumer Discretionary,Consumer Durables,N
Arex Industries Ltd.,526851,,Consumer Discretionary,Textiles,N
Bilcare Ltd.,526853,,Healthcare,Healthcare,N
ISF LIMITED,526859,,Financial Services,Financial Services,N
Rishi Laser  Ltd.,526861,,Industrials,Capital Goods,N
Jainco Projects (India) Ltd.,526865,,Services,Services,N
Kumbhat Financial Services Ltd.,526869,,Financial Services,Financial Services,N
Intec Capital Limited,526871,,Financial Services,Financial Services,N
Rajasthan Gases Ltd.,526873,,Energy,"Oil, Gas & Consumable Fuels",N
Siddheswari Garments Ltd.,526877,,Services,Services,N
63 Moons Technologies Limited,526881,63MOONS,Information Technology,Information Technology,Y
Shikhar Consultants Ltd.,526883,,Financial Services,Financial Services,N
Sarla Performance Fibers Ltd,526885,,Consumer Discretionary,Textiles,N
Market Creators Ltd.,526891,,Financial Services,Financial Services,N
HIMALAYA FOOD INTERNATIONAL LIMITED,526899,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Sonal Adhesives Ltd.,526901,,Commodities,Chemicals,N
Padmanabh Industries Limited,526905,,Commodities,Chemicals,N
Twentyfirst Century Management Serv,526921,,Financial Services,Financial Services,N
Hariyana Ship Breakers Ltd.,526931,,Industrials,Capital Goods,N
ARUNIS ABODE LIMITED,526935,,Financial Services,Financial Services,N
Tyroon Tea Co. Ltd.,526945,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
La Opala RG Ltd.,526947,,Consumer Discretionary,Consumer Durables,N
Stylam Industries Limited,526951,STYLAMIND,Consumer Discretionary,Consumer Durables,Y
Venus Remedies Ltd.,526953,,Healthcare,Healthcare,N
LAST MILE ENTERPRISES LIMITED,526961,,Financial Services,Financial Services,N
Gujarat Craft Industries Ltd.,526965,,Industrials,Capital Goods,N
Heera Ispat Ltd.,526967,,Industrials,Capital Goods,N
Dhoot Industrial Finance Ltd.,526971,,Services,Services,N
Crimson Metal Engineering Company Ltd,526977,,Industrials,Capital Goods,N
SHRI BAJRANG ALLIANCE LIMITED,526981,,Industrials,Capital Goods,N
Urja Global Limited,526987,URJA,Industrials,Capital Goods,Y
Ashapura Minechem Ltd,527001,,Commodities,Metals & Mining,N
Shree Pacetronix Ltd,527005,,Healthcare,Healthcare,N
Gujarat Alkalis & Chemicals Ltd.,530001,,Commodities,Chemicals,N
India Cements Ltd.,530005,,Commodities,Construction Materials,N
JK Tyre & Industries Ltd.,530007,,Consumer Discretionary,Automobile and Auto Components,N
Mangalore Chemicals & Fertilisers L,530011,,Commodities,Chemicals,N
Standard Industries Ltd.,530017,,Consumer Discretionary,Realty,N
JUBILANT PHARMOVA LIMITED,530019,JUBLPHARMA,Healthcare,Healthcare,Y
THE INVESTMENT TRUST OF INDIA LIMITED,530023,THEINVEST,Financial Services,Financial Services,Y
Samyak International Limited,530025,,Services,Services,N
Aadi Industries Ltd,530027,,Commodities,Chemicals,N
Sree Jayalakshmi Autospin Ltd.,530037,,Consumer Discretionary,Textiles,N
Acknit Industries Ltd,530043,,Consumer Discretionary,Textiles,N
Titan Securities Ltd.,530045,,Financial Services,Financial Services,N
REAL ECO-ENERGY LIMITED,530053,,Energy,"Oil, Gas & Consumable Fuels",N
Harmony Capital Services Ltd.,530055,,Services,Services,N
Vivanza Biosciences Limited,530057,,Healthcare,Healthcare,N
Yashraj Containeurs Ltd.,530063,,Industrials,Capital Goods,N
Lords Ishwar Hotels Limited,530065,,Consumer Discretionary,Consumer Services,N
CSL Finance Limited,530067,CSLFINANCE,Financial Services,Financial Services,Y
Sanghvi Movers Ltd.,530073,,Services,Services,N
Selan Exploration Technology Ltd.,530075,,Energy,"Oil, Gas & Consumable Fuels",N
PURETROP FRUITS LIMITED,530077,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Faze Three Ltd.,530079,,Consumer Discretionary,Textiles,N
ACE EDUTREND LIMITED,530093,,Consumer Discretionary,Consumer Services,N
PRADHIN LIMITED,530095,,Industrials,Capital Goods,N
ANUPAM FINSERV LIMITED,530109,,Financial Services,Financial Services,N
Raj Packaging Industries Ltd.,530111,,Industrials,Capital Goods,N
PRIVI SPECIALITY CHEMICALS LIMITED,530117,PRIVISCL,Commodities,Chemicals,Y
Natraj Proteins Ltd.,530119,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Samrat Pharmachem Ltd.,530125,,Healthcare,Healthcare,N
NPR Finance Ltd.,530127,,Financial Services,Financial Services,N
Nile Ltd.,530129,,Commodities,Metals & Mining,N
Udaipur Cement Works Limited,530131,UDAICEMENT,Commodities,Construction Materials,Y
Amco India Ltd.,530133,,Industrials,Capital Goods,N
Optiemus Infracom Limited,530135,OPTIEMUS,Telecommunication,Telecommunication,Y
Kreon Finnancial Services Limited,530139,,Financial Services,Financial Services,N
Gyan Developers & Builders Ltd.,530141,,Consumer Discretionary,Realty,N
Kisan Mouldings Ltd.,530145,,Industrials,Capital Goods,N
Garodia Chemicals Ltd.,530161,,Services,Services,N
Kerala Ayurveda Limited,530163,,Healthcare,Healthcare,N
Moongipa Capital Finance Ltd.,530167,,Financial Services,Financial Services,N
Mohit Paper Mills Ltd.,530169,,Commodities,Forest Materials,N
Daulat Securities Ltd.,530171,,Financial Services,Financial Services,N
Oscar Global Ltd,530173,,Consumer Discretionary,Consumer Durables,N
Odyssey Technologies Ltd.,530175,,Information Technology,Information Technology,N
RSC International Limited,530179,,Consumer Discretionary,Textiles,N
Surat Trade and Mercantile Limited,530185,,Consumer Discretionary,Textiles,N
Atharv Enterprises Limited,530187,,Financial Services,Financial Services,N
FUNDVISER CAPITAL (INDIA) LIMITED,530197,,Financial Services,Financial Services,N
Themis Medicare Ltd.,530199,,Healthcare,Healthcare,N
KALLAM TEXTILES LTD,530201,,Consumer Discretionary,Textiles,N
Brawn Biotech Limited,530207,,Healthcare,Healthcare,N
Fortune International Ltd.,530213,,Services,Services,N
Kings Infra Ventures Limited,530215,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
SWOJAS FOODS LIMITED,530217,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Subhash Silk Mills Ltd.,530231,,Consumer Discretionary,Textiles,N
Auro Laboratories Ltd.,530233,,Healthcare,Healthcare,N
KJMC Financial Services Ltd.,530235,,Financial Services,Financial Services,N
Suven Life Sciences Ltd.,530239,,Healthcare,Healthcare,N
Aryaman Financial Services Ltd.,530245,,Financial Services,Financial Services,N
Bridge Securities Ltd.,530249,,Financial Services,Financial Services,N
Risa International Limited,530251,,Services,Services,N
Rajasthan Tube Mfg. Co,530253,,Industrials,Capital Goods,N
Kay Power And Paper Ltd,530255,,Commodities,Forest Materials,N
Inter State Oil Carrier Ltd,530259,,Services,Services,N
Global Capital Markets Ltd.,530263,,Financial Services,Financial Services,N
Sainik Finance and Industries Ltd,530265,,Commodities,Construction Materials,N
ARIGATO UNIVERSE LIMITED,530267,,Industrials,Capital Goods,N
Rich Universe Network Ltd,530271,,Financial Services,Financial Services,N
Quantum Digital Vision (India) Ltd.,530281,,Industrials,Capital Goods,N
S.P.Capital Financing Ltd.,530289,,Services,Services,N
PAOS INDUSTRIES LIMITED,530291,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Shri Rajivlochan Oil Extraction Ltd,530295,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Kothari Products Ltd.,530299,,Services,Services,N
Piccadily Agro Industries ltd.,530305,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Chaman Lal Setia Exports Ltd.,530307,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Chandra Prabhu International Ltd.,530309,,Services,Services,N
KIMIA BIOSCIENCES LIMITED,530313,,Healthcare,Healthcare,N
Hindustan Tin Works Ltd.,530315,,Industrials,Capital Goods,N
Godavari Drugs Ltd.,530317,,Healthcare,Healthcare,N
Premco Global Ltd.,530331,,Consumer Discretionary,Textiles,N
Mukesh Babu Financial Services Ltd.,530341,,Financial Services,Financial Services,N
Genus Power Infrastructures Ltd,530343,,Industrials,Capital Goods,N
ASIAN ENERGY SERVICES LTD,530355,,Energy,"Oil, Gas & Consumable Fuels",N
KBS INDIA LIMITED,530357,,Financial Services,Financial Services,N
PRABHHANS INDUSTRIES LIMITED,530361,,Consumer Discretionary,Textiles,N
Ugar Sugar Works Ltd.,530363,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Orient Bell Limited,530365,ORIENTBELL,Consumer Discretionary,Consumer Durables,Y
NRB Bearings Ltd.,530367,,Consumer Discretionary,Automobile and Auto Components,N
Vamshi Rubber Ltd.,530369,,Consumer Discretionary,Automobile and Auto Components,N
Nila Infrastructures Ltd,530377,,Consumer Discretionary,Realty,N
DB(INTERNATIONAL)Stock Brokers Ltd,530393,,Financial Services,Financial Services,N
Vinyoflex Ltd.,530401,,Commodities,Chemicals,N
Jindal Capital Ltd.,530405,,Financial Services,Financial Services,N
EPIC Energy Ltd.,530407,,Financial Services,Financial Services,N
Sumedha Fiscal Services Ltd.,530419,,Financial Services,Financial Services,N
Kuwer Industries Ltd.,530421,,Commodities,Chemicals,N
Choksi Imaging Ltd.,530427,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Ashish Polyplast Ltd.,530429,,Industrials,Capital Goods,N
Shiva Global Agro Industries Limited,530433,,Commodities,Chemicals,N
Siddha Ventures Limited,530439,,Financial Services,Financial Services,N
Kiran Syntex Ltd.,530443,,Consumer Discretionary,Textiles,N
Sumeru Industries Ltd.,530445,,Services,Services,N
Rungta Irrigation Ltd.,530449,,Industrials,Capital Goods,N
GTT DATA SOLUTIONS LIMITED,530457,,Information Technology,Information Technology,N
Valson Industries Ltd.,530459,,Consumer Discretionary,Textiles,N
Saboo Sodium Chloro Ltd.,530461,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
GSL Securities Ltd.,530469,,Financial Services,Financial Services,N
Tinna Rubber and Infrastructure Limited,530475,,Industrials,Capital Goods,N
Vikram Thermo (India) Ltd.,530477,,Commodities,Chemicals,N
STRATMONT INDUSTRIES LIMITED,530495,,Services,Services,N
A.K.Capital Services Ltd.,530499,,Financial Services,Financial Services,N
Relaxo Footwears Ltd.,530517,,Consumer Discretionary,Consumer Durables,N
Virat Industries Ltd.,530521,,Consumer Discretionary,Textiles,N
RAJNISH RETAIL LIMITED,530525,,Consumer Discretionary,Consumer Durables,N
Terai Tea Co. Ltd.,530533,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Manraj Housing Finance Ltd.,530537,,Financial Services,Financial Services,N
Cosco (India) ltd.,530545,,Consumer Discretionary,Consumer Durables,N
Ken Financial Services Ltd.,530547,,Financial Services,Financial Services,N
Shilpa Medicare Ltd.,530549,,Healthcare,Healthcare,N
Paramount Communications Ltd.,530555,,Industrials,Capital Goods,N
NCL Research And Financial Services,530557,,Financial Services,Financial Services,N
POPEES CARES LIMITED,530565,,Consumer Discretionary,Textiles,N
Explicit Finance Limited,530571,,Services,Services,N
Ladderup Finance Ltd.,530577,,Financial Services,Financial Services,N
U. Y. FINCORP LIMITED,530579,UYFINCORP,Financial Services,Financial Services,Y
Ekam Leasing & Finance Co. Ltd.,530581,,Services,Services,N
Swastika Investmart Ltd,530585,,Financial Services,Financial Services,N
Prima Plastics Ltd.,530589,,Consumer Discretionary,Consumer Durables,N
TeleCanor Global Limited,530595,,Information Technology,Information Technology,N
Jagsonpal Finance & Leasing Ltd.,530601,,Financial Services,Financial Services,N
Garg Furnace Ltd.,530615,,Industrials,Capital Goods,N
Sampre Nutritions Ltd.,530617,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Akar Auto Industries Limited,530621,,Consumer Discretionary,Automobile and Auto Components,N
Vipul Organics Limited,530627,,Commodities,Chemicals,N
Eco Recycling Limited,530643,,Utilities,Utilities,N
Goodluck India Limited,530655,GOODLUCK,Industrials,Capital Goods,Y
Goyal Associates Ltd.,530663,,Financial Services,Financial Services,N
Zenith Health Care Ltd.,530665,,Healthcare,Healthcare,N
ACE ENGITECH LIMITED,530669,,Information Technology,Information Technology,N
York Exports Ltd.,530675,,Consumer Discretionary,Consumer Durables,N
Supreme Holdings & Hospitality (India) Ltd,530677,,Consumer Discretionary,Realty,N
Lykis Limited,530689,,Services,Services,N
Prime Property Development Corporation Ltd.,530695,,Consumer Discretionary,Realty,N
Zenlabs Ethica Limited,530697,,Services,Services,N
Raj Rayon Industries Limited,530699,RAJRILTD,Consumer Discretionary,Textiles,Y
ANIRIT VENTURES LIMITED,530705,,Consumer Discretionary,Textiles,N
Gowra Leasing & Finance Ltd.,530709,,Financial Services,Financial Services,N
Jagan Lamps Ltd.,530711,,Consumer Discretionary,Automobile and Auto Components,N
Alps Industries Ltd.,530715,,Consumer Discretionary,Textiles,N
Asit C Mehta Financial Services Limited,530723,,Financial Services,Financial Services,N
ENCODE PACKAGING INDIA LIMITED,530733,,Consumer Discretionary,"Media, Entertainment & Publication",N
Super Bakers (India) Ltd.,530735,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Ovobel Foods Ltd.,530741,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
CHALLANI CAPITAL LIMITED,530747,,Financial Services,Financial Services,N
Coral Newsprints Ltd.,530755,,Commodities,Forest Materials,N
Sterling Tools Ltd.,530759,,Consumer Discretionary,Automobile and Auto Components,N
AGARWAL FORTUNE INDIA LIMITED,530765,,Industrials,Capital Goods,N
Dynamic Protfolio Management & Serv,530779,,Financial Services,Financial Services,N
Inland Printers Ltd.,530787,,Consumer Discretionary,"Media, Entertainment & Publication",N
Ceejay Finance Limited,530789,,Financial Services,Financial Services,N
Suncity Synthetics Ltd.,530795,,Consumer Discretionary,Textiles,N
Shree Ganesh Elastoplast Ltd,530797,,Services,Services,N
Anna Infrastructures Ltd,530799,,Financial Services,Financial Services,N
Bhageria Industries Limited,530803,BHAGERIA,Commodities,Chemicals,Y
BNR Udyog Ltd.,530809,,Services,Services,N
KRBL Ltd.,530813,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
SSPDL Limited,530821,,Consumer Discretionary,Realty,N
Daikaffil Chemicals India Ltd.,530825,,Commodities,Chemicals,N
