Issuer Name,BSE Code,NSE Code,Sector Name,Industry Name,BSE/NSE Flag
Hero MotoCorp Limited,500182,HEROMOTOCO,Consumer Discretionary,Automobile and Auto Components,Y
HFCL LIMITED,500183,HFCL,Telecommunication,Telecommunication,Y
Himadri Speciality Chemical Ltd.,500184,,Commodities,Chemicals,N
Hindustan Construction Co. Ltd.,500185,,Industrials,Construction,N
Hindustan Oil Exploration Co. Ltd.,500186,,Energy,"Oil, Gas & Consumable Fuels",N
AGI GREENPAC LIMITED,500187,AGI,Industrials,Capital Goods,Y
Hindustan Zinc Ltd.,500188,,Commodities,Metals & Mining,N
NDL Ventures Limited,500189,NDLVENTURE,Financial Services,Financial Services,Y
HMT Limited,500191,HMT,Industrials,Capital Goods,Y
Prag Bosimi Synthetics Ltd.,500192,,Consumer Discretionary,Textiles,N
HLV LIMITED,500193,HLVLTD,Consumer Discretionary,Consumer Services,Y
IG Petrochemicals Ltd,500199,,Commodities,Chemicals,N
India Glycols Ltd,500201,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
India Lease Devl. Ltd.,500202,,Financial Services,Financial Services,N
Margo Finance Limited,500206,,Financial Services,Financial Services,N
Indo Rama Synthetics (India) Ltd.,500207,,Consumer Discretionary,Textiles,N
Infosys Ltd,500209,,Information Technology,Information Technology,N
Ingersoll-Rand (India) Ltd.,500210,,Industrials,Capital Goods,N
International Travel House Ltd,500213,,Consumer Discretionary,Consumer Services,N
Ion Exchange (India) Ltd,500214,,Utilities,Utilities,N
SUNDROP BRANDS LIMITED,500215,SUNDROP,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Y
Jain Irrigation Systems Ltd.,500219,,Industrials,Capital Goods,N
Jasch Industries Ltd.,500220,,Consumer Discretionary,Textiles,N
Jindal Poly Films Ltd.,500227,,Industrials,Capital Goods,N
JSW Steel Limited,500228,JSWSTEEL,Commodities,Metals & Mining,Y
Umang Dairies Limited,500231,UMANGDAIRY,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Y
